Hour,Day,Month,Year,batteryLevel,weather_code_encoded,sunshine_duration_hours,precipitation (mm),soil_temperature_0_to_7cm (°F),vapour_pressure_deficit (kPa)
9,20,4,2023,78.0,1,1.0,0.0,70.2,1.43
12,25,7,2023,100.0,0,1.0,0.0,86.8,1.97
11,4,5,2023,100.0,0,1.0,0.0,78.7,1.96
11,14,7,2022,71.5,1,1.0,0.0,82.0,0.67
17,22,5,2023,100.0,4,1.0,0.3,83.8,0.83
9,29,9,2022,18.0,4,0.8203083333333334,0.1,70.3,0.46
8,8,11,2023,61.0,0,0.812875,0.0,59.4,0.68
10,30,6,2022,70.0,1,1.0,0.0,88.2,1.68
9,11,5,2022,62.0,0,1.0,0.0,72.0,1.45
8,7,4,2023,56.5,1,1.0,0.0,72.8,0.56
8,8,1,2023,87.5,0,0.059177777777777774,0.0,49.4,0.06
11,2,8,2023,100.0,0,1.0,0.0,87.3,1.21
10,30,4,2023,84.5,4,1.0,0.1,74.6,1.1
16,3,5,2023,100.0,0,1.0,0.0,81.4,1.92
12,27,8,2022,56.5,5,1.0,0.5,86.0,0.91
17,1,3,2023,100.0,0,1.0,0.0,80.9,1.14
7,9,12,2023,8.0,0,0.0,0.0,60.3,0.15
7,17,11,2022,14.0,2,0.0,0.0,59.2,0.6
17,6,9,2023,100.0,0,1.0,0.0,90.0,1.66
18,21,8,2022,100.0,1,0.0,0.0,87.3,1.26
8,7,10,2023,55.0,2,0.0,0.0,78.5,0.52
14,18,9,2023,100.0,3,1.0,0.0,93.1,2.48
7,30,3,2022,51.0,1,0.0,0.0,62.9,0.11
9,5,6,2022,73.0,1,1.0,0.0,79.3,0.88
7,27,11,2023,26.5,3,0.0,0.0,60.9,0.07
13,24,12,2023,72.0,1,1.0,0.0,69.1,0.99
17,8,8,2023,100.0,0,1.0,0.0,92.5,1.5
9,12,7,2023,60.5,4,1.0,0.2,83.3,0.67
15,12,9,2022,100.0,1,0.0,0.0,82.9,0.65
15,3,2,2023,76.0,2,1.0,0.0,69.5,0.59
12,15,6,2022,100.0,4,1.0,0.1,91.7,2.01
11,27,12,2022,100.0,1,1.0,0.0,49.9,0.73
8,24,11,2023,50.5,3,0.0,0.0,59.4,0.44
7,11,2,2023,53.5,1,0.0,0.0,67.0,0.11
10,16,8,2022,70.5,1,1.0,0.0,85.4,1.76
9,26,12,2023,9.5,3,0.0,0.0,66.1,0.11
14,21,10,2022,100.0,0,1.0,0.0,72.2,1.7
10,17,12,2022,52.5,1,1.0,0.0,57.1,0.62
10,17,8,2022,57.5,4,1.0,0.1,85.5,0.9
15,8,1,2024,34.0,3,0.0,0.0,60.6,0.54
11,9,8,2022,78.0,0,1.0,0.0,86.0,2.07
6,31,3,2023,62.0,1,0.0,0.0,64.1,0.18
9,8,9,2022,50.0,7,0.0,1.3,76.4,0.15
10,18,5,2023,84.5,1,1.0,0.0,82.5,1.62
16,3,8,2022,100.0,7,1.0,1.3,90.2,1.15
8,3,4,2023,53.5,3,0.0,0.0,70.2,0.15
9,1,1,2022,55.5,2,0.6306972222222222,0.0,68.3,0.09
12,7,1,2023,100.0,0,1.0,0.0,61.1,1.21
12,17,12,2023,21.0,0,1.0,0.0,68.5,0.83
15,19,7,2022,100.0,5,1.0,0.6,89.9,1.52
12,28,12,2021,100.0,0,1.0,0.0,69.9,0.74
13,2,1,2022,82.0,1,1.0,0.0,77.4,1.26
12,15,12,2021,54.5,1,1.0,0.0,73.6,1.21
15,2,12,2023,73.0,4,1.0,0.2,79.8,1.34
12,16,5,2022,89.5,0,1.0,0.0,86.5,1.8
16,19,12,2022,100.0,0,1.0,0.0,64.9,0.99
12,25,3,2023,100.0,0,1.0,0.0,81.9,1.9
12,22,10,2022,100.0,0,1.0,0.0,71.1,1.23
10,8,6,2023,69.5,4,1.0,0.1,79.7,0.8
8,11,6,2022,61.5,4,0.0,0.1,76.5,0.25
17,22,4,2023,100.0,1,1.0,0.0,87.7,1.15
18,6,7,2022,100.0,4,0.13092777777777778,0.1,84.1,0.51
10,6,1,2022,72.0,1,1.0,0.0,60.2,0.52
17,26,5,2023,100.0,7,1.0,1.8,77.7,0.7
14,28,1,2023,80.0,3,0.2111638888888889,0.0,59.0,0.77
11,11,3,2023,98.0,0,1.0,0.0,73.6,1.17
15,24,9,2023,100.0,0,1.0,0.0,92.9,3.22
14,8,3,2023,100.0,0,1.0,0.0,84.9,2.41
9,15,5,2022,60.5,1,1.0,0.0,76.9,0.91
15,27,7,2022,100.0,4,0.32861666666666667,0.1,85.4,0.91
14,17,1,2023,100.0,1,1.0,0.0,64.8,0.96
6,13,7,2022,50.0,0,0.0,0.0,77.0,0.09
11,4,6,2022,72.0,4,1.0,0.4,79.4,0.98
11,9,7,2023,78.5,1,1.0,0.0,86.8,1.37
11,22,11,2023,61.0,5,0.38846111111111115,0.5,74.6,0.59
15,27,12,2023,49.0,3,0.2502361111111111,0.0,68.1,0.7
13,24,1,2022,64.0,1,1.0,0.0,57.5,0.9
18,9,6,2023,100.0,0,1.0,0.0,86.0,1.03
8,20,8,2023,65.5,0,1.0,0.0,81.2,0.5
15,11,4,2023,100.0,1,1.0,0.0,84.5,2.61
10,12,3,2022,50.0,8,0.0,2.9,70.4,0.14
8,5,1,2022,50.0,2,0.025816666666666665,0.0,60.1,0.08
15,3,10,2022,100.0,1,1.0,0.0,81.1,1.42
15,13,6,2022,100.0,4,1.0,0.3,89.9,1.58
18,14,7,2022,100.0,7,0.0,2.4,80.3,0.33
10,25,12,2021,73.0,0,1.0,0.0,59.4,0.67
11,11,8,2022,53.0,1,0.0,0.0,85.0,1.05
13,14,5,2022,100.0,4,1.0,0.2,91.3,2.1
16,3,9,2023,100.0,1,1.0,0.0,88.1,2.5
11,26,10,2022,87.0,0,1.0,0.0,78.2,1.17
8,13,6,2022,61.5,4,1.0,0.1,80.0,0.88
7,17,1,2023,33.5,0,0.0,0.0,42.2,0.08
9,21,3,2023,75.5,0,1.0,0.0,53.4,0.48
7,6,2,2022,37.5,3,0.0,0.0,53.6,0.05
13,27,2,2023,100.0,1,1.0,0.0,76.6,1.43
13,27,6,2023,100.0,0,1.0,0.0,88.1,1.34
7,6,9,2022,50.0,0,0.3164305555555556,0.0,78.1,0.25
11,13,6,2022,76.0,4,1.0,0.2,85.8,1.37
14,15,1,2023,100.0,0,1.0,0.0,58.7,0.8
12,16,4,2023,100.0,6,1.0,1.0,84.9,1.83
14,30,3,2023,100.0,0,1.0,0.0,86.6,2.25
8,11,11,2023,50.0,0,0.7725666666666666,0.0,72.2,0.23
9,28,2,2022,57.0,2,1.0,0.0,66.5,0.36
8,14,5,2023,71.0,1,1.0,0.0,72.7,0.59
8,26,12,2022,79.5,1,0.0,0.0,40.5,0.28
17,1,10,2023,100.0,3,0.0,0.0,81.2,0.68
14,8,5,2023,100.0,2,1.0,0.0,90.5,2.54
8,6,3,2023,54.5,3,0.2591777777777778,0.0,66.2,0.03
18,29,7,2023,100.0,0,1.0,0.0,88.3,1.26
15,13,1,2023,75.5,3,1.0,0.0,65.3,0.63
7,19,9,2022,50.0,2,0.0,0.0,76.2,0.03
14,1,8,2023,100.0,4,1.0,0.1,88.8,1.46
17,13,5,2022,100.0,0,1.0,0.0,84.9,1.54
10,22,9,2022,76.0,0,1.0,0.0,81.3,1.07
7,30,9,2022,35.0,0,0.08028333333333333,0.0,68.2,0.44
9,6,3,2023,64.0,1,1.0,0.0,69.3,0.27
16,22,10,2023,100.0,1,1.0,0.0,81.4,1.59
9,11,6,2022,65.0,4,0.5159333333333334,0.1,77.7,0.45
7,28,12,2021,50.0,3,0.0,0.0,60.2,0.09
16,21,3,2023,100.0,0,1.0,0.0,75.6,1.72
14,28,5,2023,100.0,0,1.0,0.0,84.5,1.94
9,29,1,2022,83.5,0,1.0,0.0,50.7,0.48
11,6,2,2022,41.5,7,0.0,1.5,57.3,0.14
10,20,5,2023,80.5,1,1.0,0.0,83.3,1.46
13,25,7,2022,100.0,4,1.0,0.3,87.8,1.51
15,12,9,2023,100.0,0,1.0,0.0,95.1,2.41
16,22,4,2023,100.0,0,1.0,0.0,88.5,1.19
16,16,6,2022,100.0,2,1.0,0.0,94.4,2.39
12,6,2,2022,43.0,4,0.0,0.2,59.3,0.21
9,30,7,2022,58.0,0,1.0,0.0,82.7,0.98
8,18,2,2023,54.5,0,0.5076888888888889,0.0,56.8,0.46
12,18,10,2023,100.0,0,1.0,0.0,72.5,1.45
11,10,12,2023,65.5,1,1.0,0.0,72.9,1.17
6,31,10,2022,39.5,0,0.0,0.0,69.9,0.03
6,13,10,2023,54.5,1,0.0,0.0,74.5,0.08
10,5,8,2023,76.0,4,1.0,0.1,86.1,1.55
11,1,12,2023,84.5,1,1.0,0.0,70.5,0.83
11,11,10,2023,59.5,4,0.0,0.1,75.5,0.55
13,27,11,2022,100.0,5,1.0,0.9,76.0,0.43
10,1,3,2023,65.5,4,1.0,0.1,72.3,0.61
8,5,7,2022,62.5,0,1.0,0.0,80.6,0.39
17,9,7,2023,100.0,7,1.0,2.1,87.7,0.82
13,25,11,2023,65.5,2,1.0,0.0,68.6,0.95
15,10,1,2022,100.0,5,0.0,0.5,70.6,0.25
15,9,10,2023,100.0,0,1.0,0.0,82.5,2.33
17,8,9,2023,100.0,5,1.0,0.9,86.5,0.88
11,9,1,2022,89.0,0,1.0,0.0,69.7,0.91
13,9,4,2023,66.5,3,1.0,0.0,78.7,1.32
9,4,11,2022,61.0,0,1.0,0.0,71.0,0.45
10,17,10,2022,75.0,4,1.0,0.1,78.4,0.85
6,5,9,2022,50.0,1,0.0,0.0,75.8,0.07
11,23,8,2023,87.0,0,1.0,0.0,89.1,1.82
7,30,11,2023,50.0,1,0.0,0.0,47.3,0.22
10,24,7,2023,73.0,0,1.0,0.0,83.8,0.99
8,20,11,2023,54.5,0,0.6481555555555556,0.0,63.8,0.13
7,4,4,2023,62.0,3,0.0,0.0,68.2,0.01
12,27,5,2023,100.0,0,1.0,0.0,80.4,1.36
10,11,3,2022,51.5,1,1.0,0.0,72.8,0.49
10,15,6,2022,71.5,1,1.0,0.0,85.9,1.23
12,29,7,2023,88.5,4,1.0,0.1,89.7,1.51
14,12,10,2022,73.5,4,0.0,0.3,80.8,0.63
13,3,11,2022,100.0,4,0.02144722222222222,0.2,80.2,1.02
14,29,7,2023,100.0,4,1.0,0.1,92.1,1.58
11,21,8,2022,76.0,4,1.0,0.1,89.4,1.7
14,26,8,2023,100.0,2,1.0,0.0,94.7,2.25
12,11,2,2023,66.5,2,0.0,0.0,72.9,0.77
13,31,10,2022,100.0,0,1.0,0.0,85.2,1.81
14,7,10,2022,100.0,0,1.0,0.0,82.9,1.95
9,1,9,2023,71.5,1,1.0,0.0,81.9,0.5
14,22,8,2023,100.0,4,1.0,0.1,91.8,2.78
14,16,10,2022,100.0,0,1.0,0.0,85.4,2.04
16,29,9,2022,46.0,2,1.0,0.0,75.5,0.99
14,1,1,2022,100.0,0,1.0,0.0,78.1,1.26
12,28,4,2023,88.0,0,1.0,0.0,84.3,2.35
7,16,9,2022,56.5,1,0.05714444444444444,0.0,74.3,0.05
7,24,1,2023,54.0,1,0.0,0.0,50.4,0.19
12,15,9,2023,100.0,0,1.0,0.0,92.7,2.39
9,25,1,2022,35.5,7,0.0,2.1,50.5,0.07
15,25,7,2023,100.0,0,1.0,0.0,89.1,1.71
16,30,8,2023,100.0,4,1.0,0.1,86.7,1.47
8,3,8,2022,53.5,0,1.0,0.0,80.3,0.6
12,17,2,2022,87.0,4,1.0,0.1,73.3,1.27
7,8,12,2021,50.0,3,0.0,0.0,66.4,0.01
7,5,6,2022,65.5,0,1.0,0.0,74.7,0.18
8,22,6,2022,55.5,2,1.0,0.0,77.7,1.06
7,17,6,2022,50.5,0,1.0,0.0,80.0,0.24
17,3,5,2023,100.0,0,1.0,0.0,79.9,1.71
5,21,5,2023,56.5,1,0.0,0.0,71.3,0.02
17,27,8,2023,100.0,4,1.0,0.1,90.6,1.01
8,29,4,2023,57.5,1,1.0,0.0,74.9,0.59
17,13,3,2023,100.0,1,1.0,0.0,75.0,0.8
16,1,3,2023,100.0,1,1.0,0.0,82.6,1.18
7,6,12,2023,0.0,1,0.0,0.0,57.9,0.53
13,3,8,2022,100.0,4,1.0,0.1,95.2,1.99
7,29,3,2023,60.5,1,0.0,0.0,70.2,0.13
10,26,11,2022,80.5,3,0.0,0.0,72.1,0.21
17,15,3,2023,100.0,0,1.0,0.0,69.9,1.26
10,22,10,2022,80.0,0,1.0,0.0,63.9,0.85
8,18,6,2022,53.5,0,1.0,0.0,82.3,0.87
17,29,4,2023,100.0,5,0.0,0.5,83.2,0.83
11,12,10,2022,67.0,4,1.0,0.1,81.8,1.03
10,12,11,2022,62.0,1,1.0,0.0,72.0,0.85
8,22,12,2023,50.0,3,0.0,0.0,56.3,0.18
10,30,11,2023,78.5,0,1.0,0.0,54.9,0.58
14,24,6,2023,100.0,5,1.0,0.5,87.9,1.43
14,23,5,2022,100.0,2,1.0,0.0,87.6,1.74
14,29,1,2022,100.0,0,1.0,0.0,55.7,0.5
15,20,12,2023,100.0,3,1.0,0.0,62.9,0.87
10,18,3,2022,70.5,0,1.0,0.0,69.9,1.13
7,7,8,2022,50.5,0,0.6787694444444445,0.0,77.3,0.21
9,28,1,2022,36.0,3,1.0,0.0,56.6,0.16
11,24,11,2023,54.5,5,0.0,0.5,60.2,0.17
13,27,2,2022,57.0,1,1.0,0.0,79.3,1.06
8,7,5,2023,62.5,0,1.0,0.0,71.9,0.81
18,30,1,2022,97.5,0,0.7304777777777777,0.0,51.3,0.38
13,1,9,2023,100.0,4,1.0,0.2,90.8,1.61
12,27,9,2022,73.0,4,0.0,0.1,80.2,0.75
11,30,1,2022,99.0,0,1.0,0.0,47.3,0.72
13,11,9,2022,100.0,9,0.47030833333333333,9.5,83.3,0.4
16,11,3,2022,63.0,1,1.0,0.0,81.4,1.4
11,9,7,2022,69.0,4,1.0,0.1,88.3,1.3
7,16,11,2023,14.0,3,0.0,0.0,68.3,0.31
9,25,4,2023,68.5,3,1.0,0.0,72.7,0.76
9,29,9,2023,58.0,8,0.0,3.3,76.1,0.28
8,5,4,2023,56.5,0,1.0,0.0,73.7,0.47
18,28,5,2023,100.0,0,1.0,0.0,80.9,1.1
9,10,10,2022,61.0,0,1.0,0.0,74.1,0.54
17,15,4,2022,81.0,0,1.0,0.0,83.0,1.37
10,21,2,2022,78.5,0,1.0,0.0,64.5,0.81
18,1,7,2022,100.0,8,0.11077500000000001,4.0,84.0,0.51
5,18,6,2023,54.5,2,0.0,0.0,75.9,0.13
13,30,9,2023,100.0,7,1.0,1.7,86.1,1.25
9,16,5,2022,64.5,4,1.0,0.3,75.7,0.95
11,27,12,2021,83.0,0,1.0,0.0,67.4,0.54
15,12,11,2022,100.0,0,1.0,0.0,78.0,1.03
10,18,9,2023,79.5,1,1.0,0.0,83.3,1.22
15,15,12,2021,87.0,0,1.0,0.0,77.6,1.37
8,9,12,2021,37.0,3,0.0,0.0,67.2,0.03
18,9,6,2022,100.0,1,1.0,0.0,85.2,0.77
7,22,4,2022,58.0,1,0.6491666666666667,0.0,65.6,0.4
6,7,6,2022,61.5,3,0.0,0.0,73.0,0.02
12,11,7,2022,67.5,8,0.4739583333333333,2.6,84.1,0.58
12,25,2,2022,61.5,2,1.0,0.0,77.8,1.47
6,25,9,2023,57.0,0,0.0,0.0,74.5,0.16
18,6,8,2022,100.0,0,1.0,0.0,86.6,1.19
9,10,6,2023,62.5,0,1.0,0.0,80.6,0.74
7,24,10,2023,52.0,0,0.0,0.0,66.5,0.3
17,4,2,2023,100.0,0,1.0,0.0,69.7,1.3
9,1,11,2023,54.0,2,0.0,0.0,68.4,1.0
12,3,7,2022,100.0,4,1.0,0.1,89.2,1.6
6,26,6,2022,50.0,1,0.0,0.0,74.6,0.09
16,20,12,2022,58.5,8,0.0,2.6,62.5,0.14
7,26,1,2023,50.0,0,0.0,0.0,61.1,0.19
9,15,8,2023,67.0,8,0.49872222222222223,4.5,82.7,0.31
9,3,2,2023,56.0,8,0.01955555555555556,6.0,68.5,0.16
12,22,2,2023,100.0,0,1.0,0.0,76.5,1.47
7,21,11,2023,53.0,1,0.0,0.0,67.3,0.11
17,9,6,2022,100.0,4,1.0,0.1,86.4,0.94
14,19,10,2023,100.0,0,1.0,0.0,80.2,2.0
16,27,3,2023,100.0,0,1.0,0.0,89.7,1.52
15,18,2,2023,100.0,0,1.0,0.0,69.6,1.09
9,20,9,2023,61.5,4,1.0,0.2,78.5,0.72
16,25,4,2023,100.0,4,1.0,0.1,87.4,1.36
14,27,3,2023,100.0,0,1.0,0.0,89.7,1.87
15,7,12,2022,100.0,2,1.0,0.0,78.6,1.53
18,7,7,2023,100.0,4,1.0,0.1,86.1,1.07
10,3,2,2023,59.0,2,0.9000388888888888,0.0,69.5,0.31
12,2,2,2023,100.0,3,0.9278083333333333,0.0,72.6,0.61
16,25,8,2022,100.0,4,0.0,0.1,83.5,0.44
12,5,3,2022,61.0,1,1.0,0.0,77.3,1.94
13,9,7,2022,80.0,7,1.0,1.9,90.4,1.17
10,26,8,2022,70.5,4,1.0,0.1,83.5,0.83
12,29,3,2023,100.0,1,1.0,0.0,81.0,1.68
7,27,3,2023,61.0,3,0.006061111111111111,0.0,70.7,0.05
14,9,12,2021,80.0,1,1.0,0.0,79.6,1.35
13,25,10,2022,100.0,1,1.0,0.0,82.4,1.99
6,21,9,2023,57.5,3,0.0,0.0,72.2,0.0
14,12,8,2023,100.0,4,1.0,0.2,93.4,2.12
14,11,5,2023,100.0,1,1.0,0.0,93.3,3.18
12,8,2,2022,81.5,6,0.0,1.1,53.9,0.1
18,10,8,2023,100.0,0,1.0,0.0,91.6,1.44
11,14,10,2022,57.0,0,1.0,0.0,79.2,1.36
15,7,6,2023,100.0,4,1.0,0.1,84.7,1.09
11,13,2,2022,85.5,3,0.9667361111111111,0.0,64.4,0.35
12,1,1,2023,92.0,3,0.9536805555555555,0.0,73.1,0.61
12,11,8,2022,57.0,4,0.0,0.2,86.3,1.29
15,30,7,2022,100.0,0,1.0,0.0,93.2,3.1
9,2,1,2023,94.0,3,0.0,0.0,65.0,0.05
8,6,11,2023,61.5,0,0.8395138888888889,0.0,55.5,0.6
12,23,2,2022,71.0,1,1.0,0.0,77.2,1.3
10,7,12,2022,72.0,0,1.0,0.0,69.4,0.7
9,31,10,2022,60.0,1,0.6367805555555555,0.0,73.2,0.26
6,14,9,2023,50.0,0,0.0,0.0,75.5,0.2
12,9,3,2022,52.5,1,1.0,0.0,79.3,1.02
18,26,7,2023,100.0,1,0.0,0.0,85.0,0.52
16,19,4,2023,100.0,4,0.7987555555555556,0.1,87.9,2.65
9,24,11,2022,80.0,3,0.08878888888888889,0.0,68.8,0.31
11,31,8,2023,82.0,4,1.0,0.1,86.1,0.97
15,20,11,2022,59.0,5,0.0,0.8,55.3,0.07
13,23,9,2022,100.0,5,1.0,0.7,88.1,1.45
13,8,1,2022,100.0,0,1.0,0.0,71.4,1.25
11,5,7,2022,84.5,4,1.0,0.4,88.1,1.29
16,4,9,2022,100.0,2,0.7674333333333334,0.0,87.1,1.05
11,7,5,2023,100.0,1,1.0,0.0,82.3,2.19
16,4,1,2022,100.0,2,1.0,0.0,68.2,0.87
12,29,6,2022,100.0,0,1.0,0.0,94.4,2.73
12,1,3,2023,78.0,1,1.0,0.0,79.1,1.32
7,24,5,2023,68.0,2,0.0,0.0,73.5,0.22
17,30,3,2023,100.0,0,1.0,0.0,86.3,2.59
11,5,2,2023,76.5,4,0.24159444444444444,0.3,63.6,0.53
13,26,9,2023,100.0,4,0.049305555555555554,0.4,85.7,0.77
8,18,5,2023,71.5,0,1.0,0.0,75.6,0.84
16,22,11,2023,67.5,2,0.0,0.0,72.7,0.46
7,1,3,2023,57.5,3,0.0,0.0,65.7,0.0
16,20,11,2023,100.0,1,1.0,0.0,78.0,1.61
16,21,11,2023,100.0,1,0.5214055555555556,0.0,78.9,1.56
15,13,8,2022,100.0,5,1.0,0.6,91.6,1.63
6,18,8,2022,50.0,0,0.0,0.0,76.4,0.03
10,25,3,2022,48.0,0,1.0,0.0,67.2,1.29
16,28,11,2022,100.0,0,1.0,0.0,75.0,1.25
10,14,9,2023,75.0,4,1.0,0.2,85.6,1.41
10,19,2,2023,73.0,1,1.0,0.0,62.9,0.67
14,9,5,2023,100.0,1,1.0,0.0,91.2,2.52
13,15,11,2023,25.0,4,0.0,0.1,74.0,0.85
8,1,10,2022,55.0,0,1.0,0.0,67.9,0.37
10,31,3,2023,89.0,1,1.0,0.0,73.8,1.55
8,24,1,2022,0.0,0,0.12358055555555555,0.0,39.5,0.04
11,21,11,2022,83.5,1,1.0,0.0,63.9,0.58
11,10,5,2023,100.0,1,1.0,0.0,86.6,2.1
10,20,7,2023,72.5,4,1.0,0.1,86.4,1.33
8,10,12,2022,36.0,3,0.0,0.0,64.8,0.02
11,16,8,2022,82.5,1,1.0,0.0,88.1,1.95
11,21,12,2023,91.0,1,1.0,0.0,60.3,0.76
14,26,11,2023,69.5,3,1.0,0.0,73.4,0.87
8,1,12,2022,51.0,0,0.49151944444444445,0.0,61.1,0.19
7,19,10,2023,59.0,0,0.0,0.0,61.6,0.12
11,21,10,2023,85.5,0,1.0,0.0,79.0,1.31
9,14,6,2022,58.5,0,1.0,0.0,83.4,1.02
6,3,7,2023,53.5,1,0.0,0.0,76.1,0.1
15,21,3,2023,100.0,1,1.0,0.0,75.6,1.67
15,7,12,2023,100.0,1,1.0,0.0,68.8,1.22
7,27,6,2023,55.0,0,0.9968,0.0,77.5,0.54
15,23,7,2023,100.0,5,1.0,0.9,88.0,1.23
8,8,8,2023,67.0,0,1.0,0.0,83.1,0.78
13,4,6,2023,100.0,4,1.0,0.1,85.8,1.84
11,28,5,2022,96.0,0,1.0,0.0,82.4,2.05
8,31,3,2022,43.5,3,1.0,0.0,70.3,0.68
7,27,10,2023,54.5,0,0.0,0.0,68.0,0.15
12,27,9,2023,68.0,3,1.0,0.0,87.5,1.39
6,29,6,2022,63.5,0,0.0,0.0,74.1,0.11
14,16,7,2023,71.0,8,1.0,5.9,87.1,0.9
6,19,6,2023,53.5,0,0.0,0.0,74.3,0.09
10,1,10,2023,66.0,4,1.0,0.4,79.7,0.59
12,14,2,2023,100.0,0,1.0,0.0,64.2,1.39
13,5,5,2023,100.0,1,1.0,0.0,86.0,2.67
13,10,8,2022,98.5,1,1.0,0.0,90.5,2.33
7,6,4,2022,42.0,3,0.05580277777777777,0.0,72.9,0.04
12,9,9,2022,41.0,4,1.0,0.1,84.5,1.27
11,3,6,2022,86.0,1,1.0,0.0,84.6,1.66
13,17,12,2021,85.5,1,1.0,0.0,78.7,1.43
8,18,9,2023,56.5,1,1.0,0.0,78.8,0.32
15,3,2,2022,100.0,0,1.0,0.0,74.6,1.82
10,27,2,2022,57.0,0,1.0,0.0,71.1,0.69
10,19,11,2022,68.5,0,1.0,0.0,59.0,0.56
10,5,1,2022,52.5,1,1.0,0.0,64.3,0.44
7,6,8,2022,50.0,0,0.6873611111111111,0.0,78.4,0.17
10,20,9,2023,74.5,8,1.0,3.0,79.6,0.71
6,12,5,2023,65.5,1,0.0,0.0,72.2,0.09
17,2,4,2022,61.0,5,0.0,0.9,71.9,0.21
17,15,7,2022,100.0,1,1.0,0.0,90.1,1.83
18,31,7,2022,100.0,8,1.0,3.0,89.3,0.69
7,30,6,2023,50.5,1,0.9811916666666667,0.0,76.4,0.31
7,31,1,2022,87.0,0,0.0,0.0,38.5,0.04
17,29,5,2022,100.0,0,1.0,0.0,86.3,1.84
15,19,7,2023,100.0,9,1.0,10.1,91.7,0.94
13,23,3,2022,90.0,1,0.4494694444444444,0.0,81.8,1.65
13,23,9,2023,100.0,0,1.0,0.0,88.4,2.66
12,19,10,2022,78.0,1,1.0,0.0,65.8,0.95
16,4,2,2023,100.0,0,1.0,0.0,70.7,1.56
6,5,6,2022,65.0,0,0.0,0.0,72.4,0.03
14,1,3,2023,100.0,2,1.0,0.0,82.9,1.56
8,6,10,2023,54.5,1,0.6794472222222223,0.0,76.3,0.26
6,8,6,2022,50.0,0,0.0,0.0,73.8,0.07
11,12,5,2022,85.0,0,1.0,0.0,83.2,2.35
14,1,9,2023,100.0,4,1.0,0.1,92.0,1.82
10,28,7,2023,75.0,4,1.0,0.1,84.5,1.0
12,2,9,2022,77.5,4,1.0,0.2,83.6,0.83
17,25,9,2023,100.0,6,0.9299,1.1,85.4,0.8
12,18,7,2023,81.0,1,1.0,0.0,86.3,1.01
